KOD_KRAJE,KOD_SOORP,SPRAVNI_OBVOD,PORADOVE_CISLO,NAZEV_OBCE,KOD_OBCE,TYPE_OBCE,POCET_CASTI_OBCE,POCET_KATASTRU,KATASTRALNI_VYMERA,POCET_OBYVATEL,,,"Příjmy celkemv roce 2020 [tis. Kč]","Výdaje celkemv roce 2020  [tis. Kč]",Saldo příjmů a výdajů v roce 2020 [tis. Kč],,,,,,,,,,celkem,"ve věku0 - 14 let","ve věku65 a více let",,,,,,a,b,c,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,HLAVNÍ MĚSTO PRAHA,,,,,,,,,,,,,
CZ010,x,x,x,Praha,554782,hlavní město,112,112,"49,621","1,335,084","212,824","253,111","96,941,215","88,034,745","8,906,470"
,,STŘEDOČESKÝ KRAJ,,,,,,,,,,,,,
CZ020,2101,Benešov,1,Benešov,529303,město,15,2,"4,687","16,804","2,667","3,557","764,846","823,840","-58,993"
CZ020,2101,Benešov,2,Bukovany,532924,obec,1,1,741,760,141,133,"20,077","16,029","4,047"
CZ020,2101,Benešov,3,Bystřice,529451,město,26,10,"6,336","4,444",746,833,"93,950","91,853","2,097"
CZ020,2101,Benešov,4,Čakov,529478,obec,3,3,529,129,25,19,"3,073","7,327","-4,254"
CZ020,2101,Benešov,5,Čerčany,529516,obec,2,1,645,"2,902",545,602,"102,488","122,805","-20,316"
CZ020,2101,Benešov,6,Český Šternberk,529541,městys,1,1,547,175,36,35,"3,903","2,727","1,176"
CZ020,2101,Benešov,7,Čtyřkoly,529567,obec,2,1,288,719,124,116,"14,643","12,082","2,561"
CZ020,2101,Benešov,8,Divišov,529621,městys,8,6,"3,099","1,762",359,335,"74,929","64,888","10,041"
CZ020,2101,Benešov,9,Drahňovice,532151,obec,1,1,817,107,26,17,"5,282","3,206","2,076"
CZ020,2101,Benešov,10,Hvězdonice,529745,obec,1,1,140,336,57,69,"5,823","5,686",137
CZ020,2101,Benešov,11,Chářovice,532886,obec,1,1,417,217,55,29,"3,596","2,182","1,414"
CZ020,2101,Benešov,12,Chleby,532878,obec,1,1,234,46,5,14,"1,112","1,136",-24
CZ020,2101,Benešov,13,Chlístov,532045,obec,3,1,289,401,76,59,"5,548","4,907",641
CZ020,2101,Benešov,14,Chocerady,529796,obec,5,4,"1,784","1,265",235,239,"53,099","35,891","17,209"
CZ020,2101,Benešov,15,Choratice,532606,obec,1,1,445,70,8,13,"1,462",791,671
CZ020,2101,Benešov,16,Chotýšany,529818,obec,4,2,"1,397",596,103,86,"15,892","23,443","-7,551"
CZ020,2101,Benešov,17,Chrášťany,532037,obec,4,1,"1,154",229,37,41,"5,025","4,283",742
CZ020,2101,Benešov,18,Kozmice,529940,obec,3,1,796,347,75,52,"8,714","10,623","-1,909"
CZ020,2101,Benešov,19,Krhanice,529958,obec,3,1,"1,345","1,059",207,194,"22,282","19,908","2,374"
CZ020,2101,Benešov,20,Krňany,529974,obec,3,3,"1,224",467,80,102,"8,959","5,117","3,841"
CZ020,2101,Benešov,21,Křečovice,529991,obec,14,6,"3,187",820,138,157,"18,346","13,626","4,719"
CZ020,2101,Benešov,22,Lešany,530051,obec,3,2,"1,444",813,150,145,"25,505","22,713","2,792"
CZ020,2101,Benešov,23,Litichovice,532258,obec,1,1,193,70,12,16,"2,072","1,577",495
CZ020,2101,Benešov,24,Lštění,532193,obec,2,1,468,425,74,96,"8,119","8,342",-222
CZ020,2101,Benešov,25,Maršovice,530115,městys,16,4,"2,419",755,127,158,"17,604","13,138","4,467"
CZ020,2101,Benešov,26,Mrač,530204,obec,1,1,615,849,161,166,"14,062","10,759","3,302"
CZ020,2101,Benešov,27,Nespeky,530263,obec,3,1,496,769,146,157,"17,032","18,922","-1,890"
CZ020,2101,Benešov,28,Netvořice,530298,městys,7,5,"1,788","1,169",215,228,"27,628","24,211","3,416"
CZ020,2101,Benešov,29,Neveklov,530310,město,23,9,"5,446","2,676",464,497,"79,600","42,567","37,033"
CZ020,2101,Benešov,30,Ostředek,530352,obec,5,3,"1,297",403,79,73,"11,228","21,782","-10,554"
CZ020,2101,Benešov,31,Petroupim,530409,obec,3,1,951,312,52,58,"13,278","10,937","2,340"
CZ020,2101,Benešov,32,Popovice,532649,obec,6,1,"1,172",278,39,56,"5,905","6,213",-308
CZ020,2101,Benešov,33,Poříčí nad Sázavou,530441,obec,2,1,927,"1,410",300,253,"33,359","24,261","9,098"
CZ020,2101,Benešov,34,Postupice,530450,obec,16,7,"4,001","1,387",248,284,"29,827","22,654","7,173"
CZ020,2101,Benešov,35,Přestavlky u Čerčan,530492,obec,6,1,648,399,81,74,"7,198","8,768","-1,570"
CZ020,2101,Benešov,36,Pyšely,538680,město,5,3,"1,281","2,086",475,340,"54,293","41,832","12,461"
CZ020,2101,Benešov,37,Rabyně,530522,obec,5,2,"1,589",269,26,76,"7,945","11,311","-3,366"
CZ020,2101,Benešov,38,Řehenice,538710,obec,7,2,"1,104",452,59,90,"8,476","7,089","1,387"
CZ020,2101,Benešov,39,Sázava,534382,město,5,5,"2,042","3,748",560,916,"92,488","107,433","-14,944"
CZ020,2101,Benešov,40,Soběhrdy,530638,obec,5,2,"1,012",426,103,66,"10,401","6,247","4,153"
CZ020,2101,Benešov,41,Stranný,599379,obec,2,1,551,118,25,20,"3,854","3,446",408
CZ020,2101,Benešov,42,Struhařov,530689,obec,15,7,"2,196",927,174,151,"21,592","33,292","-11,700"
CZ020,2101,Benešov,43,Teplýšovice,530760,obec,5,2,"1,057",526,118,73,"13,171","28,654","-15,483"
CZ020,2101,Benešov,44,Tisem,532592,obec,1,1,346,228,29,46,"3,706","2,317","1,389"
CZ020,2101,Benešov,45,Třebešice,532304,obec,1,1,418,99,15,17,"1,856","1,460",396
CZ020,2101,Benešov,46,Týnec nad Sázavou,530841,město,8,5,"2,575","5,699",930,"1,381","154,990","118,567","36,423"
CZ020,2101,Benešov,47,Václavice,532061,obec,3,1,825,617,119,84,"10,847","10,441",406
CZ020,2101,Benešov,48,Vodslivy,532614,obec,1,1,471,99,15,13,"2,121","1,580",541
